pw_session_id;pw_event_id;pw_search_category;pw_search_keyword;pw_search_results_count
6406225101;21611699113;zoeken;Boete;5620
6406228799;21611694079;zoeken;sbo;550
6406228799;21611717113;zoeken;sbo;550
6406241213;21611752277;zoeken;Bouwvak vakantie;10
6406241213;21611768519;zoeken;Bouw vakantie;400
6406243369;21611824323;zoeken;academie;1180
6406245615;21611761557;zoeken;2023-2024 Vakantie;70
6406245895;21611776995;zoeken;Schoolvakanties w023/2024;0
6406247977;21611809829;zoeken;nieuwkomers;2040
6406247977;21611820015;zoeken;nieuwkomers;2040
6406248315;21611776883;zoeken;Herfst vakantie noord;10
6406257425;21611806799;zoeken;herfstvakanties 2023;0
6406259063;21611875897;zoeken;Vakanties 2024;110
6406259063;21611928059;zoeken;Vakanties 2024;110
6406260449;21611822179;zoeken;subsidie omscholen;60
6406262483;21611834185;zoeken;Opgave inkomen 2022 buiten Nederland;530
6406262733;21611916517;zoeken;Spanje;3670
6406262733;21611920687;zoeken;Spanje;3670
6406262733;21611923395;zoeken;Spanje;20
6406262845;21611862143;zoeken;tegemoetkoming scholieren gegevens ouder;30
6406263677;21611836505;zoeken;23-24;1760
6406265717;21611846727;zoeken;illegaal in nederland;2420
6406265785;21611856517;zoeken;Leerplicht;680
6406266329;21611851629;zoeken;dyslexie;270
6406266329;21611865515;zoeken;dyslexie;270
6406266329;21611870699;zoeken;functiebeperking wo;80
6406266329;21611880963;zoeken;functiebeperking wo;80
6406266329;21611894563;zoeken;functiebeperking wo;80
6406266329;21611898271;zoeken;functiebeperking;170
6406273659;21611962613;zoeken;Stap;23240
6406273659;21611968839;zoeken;Stap;1820
6406273659;21611975381;zoeken;Stap;1820
6406273659;21612001635;zoeken;Stap;1820
6406273659;21612015129;zoeken;Stap;1820
6406274037;21611882961;zoeken;Noord;16880
6406275341;21611934675;zoeken;Pauzes voortgezet onderwijs;130
6406275555;21611902517;zoeken;subsidie in dienst bbl;70
6406275555;21612013721;zoeken;subsidie bbl;220
6406281493;21611921641;zoeken;Tegemoetkoming scholieren;200
6406285195;21611990175;zoeken;Septemver 2023;0
6406285343;21612072521;zoeken;Subsidie opleiding;1790
6406289003;21611951983;zoeken;feestdagen;1670
6406293091;21611982677;zoeken;weigering tentamens;0
6406293091;21611985041;zoeken;tentamens;190
6406299797;21612000481;zoeken;Zomervakantie 2022-2023;110
6406304757;21612021011;zoeken;Welke regio is haarlem;430
6406306995;21612044927;zoeken;Aanwezigheidsplicht school;10
6406306995;21612098271;zoeken;Verzuim 18+;740
6406311101;21612444053;zoeken;transparant;4680
6406311101;21613469427;zoeken;beslinota;40
6406314889;21612220345;zoeken;Hardinxveld;770
6406315031;21612059159;zoeken;20 october;1210
6406315441;21612060239;zoeken;Vakkenpakket;90
6406315927;21612061929;zoeken;Klachtencomissie;0
6406316747;21612075759;zoeken;BBL mbo;480
6406317227;21612420473;zoeken;toekomstverkenning hofer onderwijs;0
6406322297;21612118261;zoeken;bekostiging leerlingen basisschool;200
6406322297;21612184657;zoeken;verzekering leerlingen;40
6406322361;21612096969;zoeken;basisvaardigheden;1710
6406332233;21612129453;zoeken;IKT;320
6406332233;21612134091;zoeken;Internationale samenwerking;16530
6406336399;21612149243;zoeken;npo;2960
6406336691;21612191521;zoeken;stagepact;320
6406336691;21612215623;zoeken;stagepact;320
6406337565;21612159937;zoeken;passend inclusief;3890
6406338097;21612181147;zoeken;Zomervakantie;1560
6406340991;21612176479;zoeken;Na vijf vwo naar hbo;260
6406343927;21612180799;zoeken;Leerplicht;680
6406350631;21612207399;zoeken;krapte arbeidsmarkt;1920
6406350631;21612216181;zoeken;dichterbij dan je denkt;570
6406350631;21612364237;zoeken;duurzame inzetbaarheid;1120
6406350631;21612368979;zoeken;duurzame inzetbaarheid;1120
6406350631;21612471891;zoeken;duurzame inzetbaarheid;1120
6406350631;21612481157;zoeken;duurzame inzetbaarheid;1120
6406354975;21612238319;zoeken;Dorpfeest;0
6406366931;21612376567;zoeken;studie;9480
6406366931;21612380675;zoeken;tegemoetkoming;9300
6406366931;21612384277;zoeken;tegemoetkoming studie;540
6406369779;21612289125;zoeken;fonds;240
6406369779;21612297303;zoeken;innovatie;260
6406372885;21612645039;zoeken;hotspot;680
6406373727;21612305939;zoeken;engels havo;250
6406376233;21612314617;zoeken;eenoudertoeslag;20
6406379645;21612331801;zoeken;Subsidie;16480
6406379645;21612338981;zoeken;Subsidie;16480
6406379645;21612381529;zoeken;Subsidie;16480
6406384563;21612368889;zoeken;Kerst 2023;150
6406384563;21612379847;zoeken;Kerstvakantie;720
6406385419;21612426045;zoeken;bibliotheken;1800
6406387699;21612387011;zoeken;feestdagen 2024-2025;10
6406394481;21612404137;zoeken;Buitenlandse reis;2420
6406396077;21612423083;zoeken;uitwisselingen buitenland;130
6406396077;21612462217;zoeken;studeren buitenland;770
6406401707;21612437539;zoeken;burgerschap;1800
6406403981;21612454263;zoeken;Kerst;990
6406405747;21612450547;zoeken;vuurwerk;1610
6406409283;21612465851;zoeken;2023;89300
6406414641;21612482037;zoeken;2023 2024;14140
6406416523;21612594357;zoeken;Speciaal verlof 40 jarig huwelijksjubileum;0
6406419589;21612539399;zoeken;zorgplicht;2400
6406419589;21612710927;zoeken;vol;7650
6406419589;21612717889;zoeken;zorgplicht vol;220
6406419919;21612554899;zoeken;zwolle;4820
6406426013;21612534191;zoeken;Herfstvakantie Zuid;170
6406438175;21612586691;zoeken;mijlpaal assesment;0
6406438175;21612597863;zoeken;mijlpalenregeling;0
